,category_name,parent_cat_name,Entity,complaint words,output sequence,complaint_description,predicted_label
0,Garbage,Garbage and Unsanitary Practices,Garbage,"garbage collector  is not coming,people are dumping garbage","1,2,3,4,5,10,11,12,13","Garbage collector is not coming to collect household wastes.People are dumping garbage on road leading to foul smell, mosquito problem and infections. Please take necessary action.",Garbage
1,New Bus Shelters,Public Transport - BMTC,Bus,provide bus shelters,"2,3,4",Please provide bus shelters. Its the most minimal request by commutes.,New Bus Shelters
2,Electricity,Electricity and Power Supply,Electricity,Complete power cut,"3,4,5",2 days complete power cut in Annasandra Palya HAL. Till now no action has taken from BESCOM,Electricity
3,Bad Roads,Maintenance of Roads and Footpaths,Roads,roads are not asphalted,"16,17,18,19","The roads were dug to lay the drainage pipes and after laying of pipe,the roads are not asphalted. I stay at 2nd CROSS, Tunganagar East, Magadi Main road, Bangalore 560091",No Sewage Drains
4,Land and Property Encroachment - Others,Land and Property Encroachment,sites,sites are illegally used,"15,16,17,18,19,20,21","Next to my place there are 2 sites which connects 2 roads. These 2 sites are illegally used as a pathway & people urinate, throw garbage, spit & have made it a smoking zone. The area is a residential one & this is creating a lot of trouble. When questioned, the people threaten. This is becoming a daily nonsense & creating a lot of health issues to surrounding houses.",Garbage
5,Air Pollution,Pollution,bus,lot of dust due to speeding buses,"5,6,7,17,18,19,20,21",Hi ichangemycity There is lot of dust near K.G Road this is coming because the BMTC buses are speeding too much. Please resolve ASAP,BMTC - Others
6,Garbage,Garbage and Unsanitary Practices,Garbage,lot of garbage,"1,2 ",Hi ichangemycity There is a lot of garbage in Nehru nagar near the Girder Bridge. When the truck comes in to pick the waste it also drops some of the very stinky liquid please resolve ASAP.,Garbage
7,Bad Roads,Maintenance of Roads and Footpaths,Roads,"Bad road service conditions,full of potholes,repair these roads","8,9,10,11","HI,I would like to address the bad service road conditions from Iblur Junction to B Narayanapura In both the diretions. Service roads are not maintained properly It\'s full of path holes so  most of the road is acquired by 2 wheeler 4 Wheeler, Lorry parking and Also used for construction material dumping. \n\nIt will be very much helpful if you can repair these roads so that vehicles can access these roads.",Potholes
8,Electricity,Electricity and Power Supply,Electricity,power cut,"3,4 ","There is power cut for more than 24 hrs and we are not able to lead a normal life, even we are not getting drinking water as filters don\'t work without electricity, its a very basic and important requirement, I really can\'t understand why it takes more than a day to rectify electrical issues caused by rain or storm, we stay in a city and pay tax every year and we really deserve these small needs.\n\nThank you",Electricity
9,BMTC - Others,Public Transport - BMTC,bus,buses speeding lot,"3,4,5,6 ","Hi ichangemycity, BMTC buses are speeding a lot near K.G Road please resolve this problem ASAP.",BMTC - Others
