,coverage,precision,recall,f1_score
LF_Title_Regex_AirPollution,414.0,0.1642512077294686,0.36363636363636365,0.2262895174708819
LF_Title_Regex_AutorickshawsandTaxis,220.0,0.33181818181818185,0.6636363636363637,0.4424242424242424
LF_Title_Regex_BMTCDriverorConductor,44.0,0.5454545454545454,0.1437125748502994,0.22748815165876776
LF_Title_Regex_BMTCNeednewBusRoute,87.0,0.7126436781609196,0.19682539682539682,0.30845771144278605
LF_Title_Regex_BMTCOthers,1046.0,0.38910133843212236,0.4927360774818402,0.43482905982905984
LF_Title_Regex_BadRoads,1779.0,0.6824058459808882,0.2243992606284658,0.33773821115593267
LF_Title_Regex_BrokenStormWaterDrains,34.0,0.2647058823529412,0.06569343065693431,0.10526315789473685
LF_Title_Regex_Cattle,86.0,0.5581395348837209,0.7868852459016393,0.6530612244897959
LF_Title_Regex_ClearingofBlockageofUnderGroundDrainagePipelinesandReplacementofDamagedorMissingManholeCover,1777.0,0.09229037703995498,0.3840749414519906,0.14882032667876588
LF_Title_Regex_DesiltingLakes,462.0,0.18831168831168832,0.925531914893617,0.3129496402877698
LF_Title_Regex_Diseases,65.0,0.18461538461538463,0.05687203791469194,0.08695652173913043
LF_Title_Regex_Electricity,575.0,0.9182608695652174,0.4714285714285714,0.6230088495575221
LF_Title_Regex_FloodingofRoadsandFootpaths,70.0,0.15714285714285714,0.039568345323741004,0.0632183908045977
LF_Title_Regex_Footpaths,1187.0,0.5130581297388374,0.5481548154815482,0.5300261096605744
LF_Title_Regex_Garbage,6696.0,0.9275686977299881,0.8290176187933797,0.8755286157316042
LF_Title_Regex_GovernmentLandEncroachment,2.0,1.0,0.024096385542168676,0.047058823529411764
LF_Title_Regex_HawkersandVendors,106.0,0.33962264150943394,0.21301775147928995,0.2618181818181818
LF_Title_Regex_Hoardings,122.0,0.819672131147541,0.4975124378109453,0.6191950464396285
LF_Title_Regex_IllegalpostersandHoardings,2507.0,0.01316314319904268,0.4520547945205479,0.02558139534883721
LF_Title_Regex_LakesOthers,462.0,0.16017316017316016,0.925,0.27306273062730624
LF_Title_Regex_MaintenanceofRoadsandFootpathsOthers,34.0,0.0,0.0,0.0
LF_Title_Regex_Manholes,203.0,0.3054187192118227,0.7045454545454546,0.42611683848797255
LF_Title_Regex_Mosquitos,230.0,0.4826086956521739,0.8604651162790697,0.6183844011142061
LF_Title_Regex_NeedNewStreetlights,611.0,0.15875613747954173,0.5271739130434783,0.24402515723270438
LF_Title_Regex_NeedNewToilets,154.0,0.5584415584415584,0.688,0.6164874551971327
LF_Title_Regex_NewBusShelters,121.0,0.8264462809917356,0.16447368421052633,0.27434842249657065
LF_Title_Regex_NoSewageDrains,1281.0,0.17642466822794692,0.47983014861995754,0.2579908675799087
LF_Title_Regex_NoisePollution,226.0,0.7699115044247787,0.6987951807228916,0.7326315789473684
LF_Title_Regex_Others,14.0,0.07142857142857142,0.0015267175572519084,0.0029895366218236174
LF_Title_Regex_OverflowofStormWaterDrains,13.0,0.3076923076923077,0.016736401673640166,0.031746031746031744
LF_Title_Regex_ParkingViolations,826.0,0.38619854721549635,0.7975,0.5203915171288744
LF_Title_Regex_Parksandplaygrounds,1405.0,0.11814946619217082,0.7867298578199052,0.20544554455445543
