,f1-score,precision,recall,support
 BMTC - Driver or Conductor,0.35,0.75,0.23,26.0
 Cattle,0.43,0.6,0.33,9.0
 Diseases,0.15,0.28,0.1,49.0
 Government Land Encroachment,0.0,0.0,0.0,8.0
 Lakes - Others,0.0,0.0,0.0,11.0
 Manholes,0.12,0.25,0.08,13.0
 New Bus Shelters,0.28,0.32,0.25,121.0
 No Sewage Drains,0.28,0.22,0.4,100.0
 Others,0.0,0.0,0.0,131.0
 Overflow of Storm Water Drains,0.0,0.0,0.0,41.0
 Parking Violations,0.4,0.42,0.39,82.0
 Potholes,0.65,0.82,0.53,961.0
 Repair of streetlights,0.04,0.5,0.02,259.0
 Sewage and Storm Water Drains - Others,0.02,0.01,0.09,33.0
 Stray Dogs,0.95,0.92,0.98,511.0
Air Pollution,0.13,0.09,0.29,45.0
Autorickshaws and Taxis,0.5,0.4,0.67,18.0
BMTC - Need new Bus Route,0.24,0.24,0.25,53.0
BMTC - Others,0.44,0.35,0.58,125.0
Bad Roads,0.47,0.6,0.38,1008.0
Broken Storm Water Drains,0.06,0.06,0.05,20.0
Clearing of Blockage of Under Ground Drainage Pipelines and Replacement of Damaged or Missing Manhole Cover,0.1,0.07,0.18,71.0
Desilting - Lakes,0.24,0.15,0.6,10.0
Electricity,0.67,0.87,0.55,182.0
Flooding of Roads and Footpaths,0.03,0.17,0.02,55.0
Footpaths,0.54,0.48,0.61,217.0
Garbage,0.89,0.9,0.88,1319.0
Hawkers and Vendors,0.0,0.0,0.0,23.0
Hoardings,0.0,0.0,0.0,27.0
Illegal posters and Hoardings,0.11,0.06,0.93,14.0
Maintenance of Roads and Footpaths - Others,0.0,0.0,0.0,27.0
Mosquitos,0.49,0.33,0.93,27.0
Need New Streetlights,0.21,0.13,0.58,48.0
Need New Toilets,0.57,0.57,0.57,21.0
Noise Pollution,0.64,0.6,0.68,31.0
Parks and playgrounds,0.44,0.38,0.53,34.0
Public Nuisance,0.1,0.13,0.08,36.0
Traffic,0.58,0.49,0.7,681.0
"Trees, Parks and Playgrounds - Others",0.1,0.05,0.73,11.0
Unauthorized Construction,0.14,0.29,0.1,21.0
Water Leakage,0.55,0.62,0.5,52.0
Water Supply,0.41,0.92,0.26,136.0
avg / total,0.57,0.63,0.56,6667.0
